,,,,,,,,,,
Final offered price ,,,,,,,,,,
Discreption,Metacel RDP ,Cellocel ,,,,,,,,
QTY in KG,15000,1500,,,,,,,,
Cost at SEZ /Purchasing price ,2,3.2,,,,,,,,
Transportation cost ,0.1,0.1,,,,,,,,
CFCA Moyale cost ,2.1,3.3,,,,,,,,
Bank Value ,2,3,,,,,,,,
Cost ,31500,4950,,,,,,,,
TOTAL USD ,30000,4500,,,,,,,,
Rate USD vs ETB (Black),190,190,,,,,,,,
Rate USD vs ETB (official),155,155,,,,,,,,
Rate USD vs ETB (Dashen Black),180,180,,,,,,,,
Amount In Birr,5685000,895500,,,,,,,,
Bank Charges,441750,66262.5,,,,,,,,
Facilitation charge,,,,,,,,,,
Permit opening ,6126750,961762.5,,,,,,,,
Differnce,,,,,,,,,,
Insurance,500,500,,,,,,,,
Transport moyale,,,,,,,,,,
Total cost at Moyale ,6127250,962262.5,,,,,,,,
Custom Clearing(Moyale),,,,,,,,,,
Customs rate ,3.8,6.67,,,,,,,,3700000
"Insurance,Fright and other( 0.1%)",9718500,1705852.5,,,,,,,,
CUSTOM DUTY (5% CIF ),485925,85292.625,,,,,,,,
"SCAN FEE 
(0.07% CIF)",68029.5,11940.9675,,,,,,,,
Social Fee (3%),291555,51175.575,,,,,,,,
15%,,,,,,,,,,
WHT(3%),291555,51175.575,,,,,,2711461.5,,
VAT (15%),1574397,276348.105,,,,,,944684.8488,,
Total customs fee ,2711461.5,475932.8475,,,,,,,,
Betchem Customes clerance ,13500,13500,,,,,,,,
Transport Addis and Unloading ,150000,15000,,,,,,,,
Total Investement ,9002211.5,1466695.3475,,,,,,,,
Refundabels ,,,,,,,,,,
0.03(WHT),-291555,-51175.575,,,,,,,,
VAT(15%),-1574397,-276348.105,,,,,,,,
Total Landing cost after refundaels ,7136259.5,1139171.6675,,,,,,,,
Profit Tax ,841092,147633.78,,,,,,,,
Total Landed Cost + Tax Risk ,7977351.5,1286805.4475,,,,,,,,
Quantity ,15000,1500,,,,,,,,
Unit Cost/KG (Before Vat),531.823433333333,857.870298333333,,,,,,,,
Selling roice 15% Margin ,595.642245333333,986.550843083333,,,,,,,,
